"idx" "group" "ID"
1 1 119513
2 9 8423
3 3 842517
4 8 843483
5 3 843584
6 8 843786
7 3 844359
8 7 844582
9 9 844981
10 4 845010
11 2 845636
12 1 846100
13 8 846381
14 2 847990
15 6 848406
16 1 848620
17 5 8511133
18 2 851509
19 4 852552
20 9 852631
21 6 852763
22 2 852781
23 5 852973
24 5 853201
25 6 853612
26 4 853826
27 9 854002
28 2 854039
29 2 854253
30 1 854268
31 2 855133
32 9 855138
33 6 855167
34 8 855563
35 3 855625
36 8 856106
37 4 856385
38 10 857010
39 9 85715
40 5 857438
41 8 857637
42 7 857793
43 2 858986
44 1 859223
45 4 859283
46 9 859717
47 1 859983
48 9 8610637
49 5 8611792
50 8 862028
51 5 86208
52 1 862548
53 4 862717
54 7 863030
55 6 864729
56 4 864877
57 6 865128
58 7 86517
59 4 865423
60 9 866203
61 10 866674
62 1 867305
63 3 867739
64 5 868202
65 6 868826
66 2 869104
67 5 869691
68 10 87112
69 9 8711803
70 9 871201
71 7 8712289
72 5 8712729
73 4 8712766
74 9 87163
75 2 87164
76 4 873592
77 7 873593
78 1 873701
79 3 873885
80 9 874217
81 7 874858
82 4 875263
83 8 875562
84 7 875938
85 2 877486
86 1 877500
87 2 878796
88 3 87880
89 10 879523
90 3 8810703
91 5 8810948
92 5 8810955
93 4 8810987
94 2 8811842
95 10 881190
96 10 8812877
97 6 881861
98 10 881972
99 10 882061
100 2 882997
101 3 883302
102 1 884180
103 1 88607
104 8 886226
105 2 886452
106 6 886490
107 1 886776
108 5 887181
109 5 887256
110 7 887549
111 9 888570
112 1 889403
113 5 889719
114 3 889950
115 6 8910988
116 7 8911163
117 2 8912049
118 7 89122
119 3 8912280
120 5 892189
121 7 892438
122 3 892632
123 10 894326
124 3 894618
125 6 895100
126 8 89539
127 1 897428
128 7 897630
129 7 89812
130 1 898431
131 4 899667
132 4 899987
133 1 9010018
134 7 901088
135 8 9011494
136 6 9012000
137 10 901288
138 2 9013838
139 9 90291
140 6 90312
141 2 903516
142 5 905241
143 4 905680
144 5 906023
145 6 907607
146 3 908194
147 5 908445
148 1 908489
149 6 909445
150 10 9110127
151 9 9110732
152 6 9111573
153 10 9111805
154 10 9113538
155 8 911916
156 3 913505
157 7 913535
158 8 914062
159 6 914769
160 8 91485
161 3 91504
162 10 915143
163 6 915460
164 3 915946
165 2 916799
166 8 916838
167 9 917627
168 4 9212009
169 6 925622
170 4 926125
171 4 926424
172 8 926682
173 8 926954
174 10 927992
175 1 927997
176 4 928594
177 4 929684
178 7 931652
179 3 931678
180 10 935058
181 7 935878
182 5 937100
183 7 937653
184 10 937654
185 8 937664
186 9 937897
187 10 938225
188 3 938412
189 1 938413
190 7 939095
191 9 939426
192 9 9411286
193 6 9411300
194 3 942640
195 8 943471
196 2 94547
197 8 947204
198 5 947489
